VendaID,ProdutoID,ValorVenda,DataVenda,Localizacao,ClienteID,Nome,Idade,PreferenciaProduto
1,106,50.85,2024-01-23,Martins de Moraes,1,Gael Henrique Martins,45,Eletrodomésticos
2,166,54.77,2024-01-01,Moraes da Serra,2,Felipe Mendonça,68,Jogos
2,166,54.77,2024-01-01,Moraes da Serra,119,Isaque Campos,45,Eletrodomésticos
3,138,39.72,2023-11-16,Peixoto,3,Davi Lucca Aparecida,31,Roupas
3,138,39.72,2023-11-16,Peixoto,37,Srta. Maria Eduarda da Cruz,55,Eletrodomésticos
3,138,39.72,2023-11-16,Peixoto,120,Rafaela Andrade,57,Eletrônicos
3,138,39.72,2023-11-16,Peixoto,482,Luan da Conceição,26,Jogos
3,138,39.72,2023-11-16,Peixoto,691,João Miguel Santos,21,Eletrodomésticos
3,138,39.72,2023-11-16,Peixoto,855,Daniela Araújo,23,Eletrônicos
4,117,91.4,2024-04-07,Nascimento do Galho,4,Noah das Neves,34,Jogos
4,117,91.4,2024-04-07,Nascimento do Galho,674,Maysa Fernandes,45,Eletrodomésticos
5,189,83.37,2024-08-01,Pereira do Norte,5,Pietra Rios,24,Livros
6,144,75.24,2023-12-07,Rocha de Guerra,6,Ravi da Luz,55,Jogos
7,193,51.59,2024-02-27,Andrade do Amparo,7,Isabel Câmara,60,Eletrodomésticos
8,193,78.4,2024-03-07,Camargo,8,Isaac Farias,59,Roupas
8,193,78.4,2024-03-07,Camargo,85,Rafael Casa Grande,45,Jogos
8,193,78.4,2024-03-07,Camargo,88,Evelyn Barbosa,44,Eletrônicos
8,193,78.4,2024-03-07,Camargo,223,Ágatha Vasconcelos,63,Livros
8,193,78.4,2024-03-07,Camargo,331,Sra. Juliana Fernandes,80,Livros
9,143,74.75,2023-10-07,Almeida das Pedras,9,Vitor da Rocha,22,Eletrônicos
10,121,47.19,2024-05-21,Brito do Campo,10,Isabelly Câmara,19,Roupas
11,113,91.3,2023-10-27,Sá,11,Isabelly Farias,18,Livros
11,113,91.3,2023-10-27,Sá,58,Dom Albuquerque,78,Roupas
11,113,91.3,2023-10-27,Sá,422,Sr. Pedro Lucas da Luz,46,Roupas
11,113,91.3,2023-10-27,Sá,631,Dr. José Miguel da Costa,73,Livros
12,160,15.35,2024-08-22,Farias,12,Rodrigo Fonseca,41,Roupas
12,160,15.35,2024-08-22,Farias,162,Nicole Moura,49,Jogos
12,160,15.35,2024-08-22,Farias,321,Sra. Cecília Borges,35,Roupas
12,160,15.35,2024-08-22,Farias,357,Gabriel Freitas,32,Eletrodomésticos
12,160,15.35,2024-08-22,Farias,382,Maria Laura Lopes,71,Eletrodomésticos
12,160,15.35,2024-08-22,Farias,645,Maria Flor da Rosa,67,Eletrônicos
12,160,15.35,2024-08-22,Farias,743,Sr. Guilherme Lopes,60,Roupas
13,134,24.34,2023-12-25,Ramos,13,Dr. Davi Rocha,54,Livros
13,134,24.34,2023-12-25,Ramos,76,Bruna da Mota,73,Jogos
13,134,24.34,2023-12-25,Ramos,187,Gael Henrique da Cruz,68,Jogos
13,134,24.34,2023-12-25,Ramos,578,Mathias Correia,43,Livros
13,134,24.34,2023-12-25,Ramos,994,Dra. Cecília Sousa,68,Livros
14,154,50.8,2024-02-24,da Mota de Nascimento,14,Nicolas da Cunha,65,Roupas
15,105,81.79,2024-08-31,Aparecida,15,João Monteiro,54,Eletrodomésticos
15,105,81.79,2024-08-31,Aparecida,64,Yasmin Cassiano,41,Livros
15,105,81.79,2024-08-31,Aparecida,444,Lucca Câmara,55,Roupas
15,105,81.79,2024-08-31,Aparecida,538,Ayla Duarte,28,Livros
15,105,81.79,2024-08-31,Aparecida,548,Sr. Ravy Câmara,53,Eletrodomésticos
15,105,81.79,2024-08-31,Aparecida,664,Isaac Nunes,59,Roupas
15,105,81.79,2024-08-31,Aparecida,876,Arthur Campos,80,Livros
16,123,78.86,2023-11-15,Nascimento,16,Maria Júlia Silva,24,Roupas
16,123,78.86,2023-11-15,Nascimento,281,Sra. Natália Monteiro,51,Jogos
16,123,78.86,2023-11-15,Nascimento,515,Heloisa Oliveira,46,Roupas
16,123,78.86,2023-11-15,Nascimento,569,Gustavo Henrique Peixoto,71,Eletrônicos
16,123,78.86,2023-11-15,Nascimento,605,Thomas Fonseca,30,Jogos
16,123,78.86,2023-11-15,Nascimento,612,Marcela Sá,47,Eletrodomésticos
16,123,78.86,2023-11-15,Nascimento,715,Sr. Gustavo Henrique Pimenta,72,Roupas
17,139,44.19,2023-11-21,Duarte de Guerra,17,Marina da Mota,53,Roupas
